Entity,Code,Year,Annual COâ‚‚ emissions from coal (per capita)
United States,USA,2001,7.3587074
United States,USA,2002,7.3021903
United States,USA,2003,7.3700404
United States,USA,2004,7.369012
United States,USA,2005,7.3764544
United States,USA,2006,7.1842794
United States,USA,2007,7.189134
United States,USA,2008,6.988945
United States,USA,2009,6.07
United States,USA,2010,6.372406
United States,USA,2011,5.9671574
United States,USA,2012,5.2376328
United States,USA,2013,5.386357
United States,USA,2014,5.311143
United States,USA,2015,4.556271
United States,USA,2016,4.119057
United States,USA,2017,3.9675994
United States,USA,2018,3.7821445
United States,USA,2019,3.202695
United States,USA,2020,2.6164424
United States,USA,2021,2.9742048
